,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
70,ธันวาคม,I'm 20,Zweed n' Roll,2018-05-28,304000,41,0.886,0.564,0.214,0.00239,0.332,-12.791,0.0305,120.008,4
71,กอด,กอด,QLER,2020-10-19,312000,50,0.781,0.388,0.352,5.73e-05,0.105,-14.256,0.0317,74.926,4
72,ได้แต่นึกถึง,Only Monday,Only Monday,2022-07-09,264762,53,0.025,0.504,0.724,0.0014,0.316,-5.612,0.0367,156.034,4
73,จะมีอะไร,จะมีอะไร,Moving and Cut,2020-05-21,278310,29,0.596,0.576,0.348,0.00501,0.34,-9.868,0.03,147.918,4
74,เสียเวลาว่ะ,How to Disappoint your parents,electric.neon.lamp,2018-08-17,248999,29,0.00212,0.426,0.716,0.0,0.0407,-8.828,0.0444,163.987,4
75,เจอแต่คนใจร้าย feat. Ink Waruntorn,เจอแต่คนใจร้าย,Lipta,2020-12-08,234500,0,0.0644,0.515,0.604,0.0,0.185,-6.152,0.0512,170.002,4
76,แกเคยสัญญาว่าจะมาด้วยกันใหม่,แกเคยสัญญาว่าจะมาด้วยกันใหม่,vavava,2023-01-08,444401,49,0.292,0.322,0.553,0.0508,0.101,-9.098,0.0428,149.951,4
77,เวลาที่เราพบกัน,เวลาที่เราพบกัน,Moving and Cut,2022-04-19,251025,37,0.237,0.463,0.479,4.72e-05,0.136,-10.076,0.0286,142.105,4
78,เคย,Stupid Love Song,loserpop,2020-11-11,287874,39,0.291,0.584,0.629,0.829,0.3,-9.147,0.0223,90.003,4
79,ถ้าเธอได้รู้ ( The Secret ),"Cap, Capo, Cigarettes & Beer",Safeplanet,2022-05-25,224875,51,0.253,0.405,0.748,2.91e-05,0.0581,-6.539,0.0305,179.969,4
80,April,April - Single,Only Monday,2023-09-26,298392,57,0.146,0.475,0.451,0.0,0.13,-9.573,0.0267,140.024,4
81,ด้วยรักและจากกัน (Past Love) [feat. sarah salola],ด้วยรักและจากกัน (Past Love) [feat. sarah salola],drg.,2023-10-06,226875,32,0.686,0.558,0.326,0.0,0.161,-10.388,0.0273,143.894,4
82,หนีห่าง,EP,เขียนไขและวานิช,2019-10-04,224606,50,0.963,0.474,0.127,0.0139,0.108,-18.782,0.0357,116.586,4
83,เสพความรู้สึก (Oxytocin),เสพความรู้สึก (Oxytocin),YERM,2021-03-12,254812,29,0.817,0.537,0.369,0.000249,0.354,-7.689,0.0257,96.891,4
84,กลับไปกลับมา,Stupid Love Song,loserpop,2020-11-11,208500,27,0.0322,0.642,0.733,1.72e-06,0.107,-5.83,0.0331,127.933,4
85,บางครั้งแค่บางครั้ง,How to Disappoint your parents,electric.neon.lamp,2018-08-17,223063,31,0.478,0.381,0.445,5.18e-06,0.118,-11.316,0.0388,150.207,4
86,ฝันที่ไม่ปลอดภัย,ฝันที่ไม่ปลอดภัย,Television off,2021-07-15,296385,46,0.00631,0.371,0.802,0.0102,0.156,-5.249,0.0329,83.032,4
87,สิ่งที่เธอฝากไว้ ( The Maze ),"Cap, Capo, Cigarettes & Beer",Safeplanet,2022-05-25,309750,31,0.157,0.53,0.837,0.00138,0.064,-5.705,0.039,104.954,4
88,หนีไป,หนีไป,electric.neon.lamp,2020-06-25,210638,34,0.65,0.735,0.656,0.00232,0.322,-5.625,0.0359,140.983,4
89,มาโซคิสม์ (M),มาโซคิสม์ (M),Mirrr,2020-07-30,217142,42,0.0386,0.602,0.809,0.00681,0.115,-6.057,0.0423,167.99,4
90,เพื่อนไม่จริง - Extended Version,80 Kisses,Polycat,2016-03-18,313000,27,0.213,0.671,0.702,0.0,0.331,-4.833,0.0321,117.029,4
91,เส้นบางๆ,INDIGO,Indigo,2023-04-01,270000,50,0.729,0.622,0.705,2.83e-06,0.104,-5.819,0.043,140.001,4
92,อยู่,Resurrection,Zweed n' Roll,2022-02-18,339500,35,0.00446,0.375,0.841,0.000626,0.21,-5.678,0.0368,175.946,4
93,อาจเป็นเพราะฉันเอง (me.),อาจเป็นเพราะฉันเอง (me.),PURPEECH,2023-04-05,283079,64,0.299,0.571,0.562,0.000745,0.0668,-8.752,0.0312,78.059,4
94,ฟ้ามืดทีไร,ฟ้ามืดทีไร,Dept,2023-09-15,278750,45,0.341,0.608,0.584,0.00935,0.168,-8.933,0.0265,113.047,4
95,ปลอบ,Moving and Cut,Moving and Cut,2016-09-02,259083,26,0.171,0.633,0.783,1.48e-05,0.109,-5.576,0.0272,89.015,4
96,แค่ฉันยังรู้สึก,แค่ฉันยังรู้สึก,YEW,2021-11-25,292653,44,0.0254,0.238,0.806,0.00172,0.092,-5.17,0.0461,66.666,4
97,ทุกความทรงจำ,Only Monday,Only Monday,2022-07-09,275624,57,0.028,0.495,0.732,0.0,0.0989,-6.43,0.0333,79.985,4
98,เป็นเพราะฝน,80 Kisses,Polycat,2016-03-18,255000,55,0.633,0.579,0.563,8.99e-06,0.304,-5.29,0.0259,135.955,4
99,ขอโทษที่เข้าไปเป็นเรื่องไม่ดีในชีวิตเธอ (sunflower),ขอโทษที่เข้าไปเป็นเรื่องไม่ดีในชีวิตเธอ (sunflower),SLAPKISS,2022-03-23,224000,48,0.372,0.522,0.363,0.0,0.113,-7.306,0.035,179.829,3
